y_true,Concrete_Class,y_cb_standard,y_cb_group
38.0,25,39.9620167971574,42.0143861589142
39.1,25,39.618385800428335,41.53654375135017
38.44,25,40.765613540512824,41.87866428776327
48.67,25,48.520070260363354,49.80730688385159
43.35,25,41.94275923412535,41.63538514561589
38.44,25,40.72068223006673,42.22047110104758
44.58,25,43.5292113282001,42.42419257642656
30.42,25,33.57106356684124,40.53753850890202
32.02,25,31.764832705291106,41.35334119422423
30.42,25,32.71426791291613,41.61559681697516
31.3,25,32.85034150636737,40.79767748504436
34.6,25,28.464203481152907,41.49188753951756
28.0,25,29.60125811994682,39.42693277552662
29.1,25,30.36074049953355,39.53729654211867
51.26,25,48.22510690676599,46.126878116647234
46.67,25,46.44395468872608,48.93220182516495
41.2,25,34.91084219458543,41.21309012504693
41.15,25,40.76268606914165,40.09889275681899
43.25,25,39.98709993069786,42.10815969302459
43.25,25,38.52972132970963,41.08152195082028
43.25,25,42.005377604439104,42.20661114536827
35.8,25,40.44977337994545,40.03599366348814
43.35,25,43.359232071553755,43.10195821183177
42.93,25,43.53816219959978,43.576228997377356
46.67,25,45.606340614659594,45.645806263886904
44.58,25,42.78278571095253,42.86578783824771
43.22,25,47.990487367967,49.35970907439896
48.67,25,52.91574436811176,50.450397584121035
48.67,25,49.64539531013528,51.80174980718046
34.6,25,29.732580441116177,41.525832364466936
28.0,25,30.676386951920097,40.90654466511988
29.1,25,33.17873107114064,40.17357558142019
48.8,25,42.05794623284494,43.82466763146065
44.0,25,43.03242490020798,42.65858952907418
42.7,25,43.096136375346134,41.61695067370578
44.8,25,42.349314449471976,41.96231432700098
42.1,25,40.83991342556118,42.43202915314515
42.3,25,43.169148723610796,41.81965012238047
44.1,25,43.696221764184955,42.77517950292789
41.9,25,44.31853894814392,42.67171689503615
51.9,25,51.5810127095194,52.57615280594946
42.9,25,49.55013131664982,49.40610540167527
44.4,25,49.28716105211361,50.95272808460049
50.7,25,49.05656751714581,48.55937045225258
50.5,25,50.60506614406482,50.73935025270199
51.9,25,46.50167896720264,50.377923070283046
48.2,25,47.720225353107566,48.69228776441126
48.2,25,47.02146974960917,44.65647698353499
45.2,25,43.336436144362054,43.11542547827138
42.9,25,44.11166553678284,43.19114760267778
44.4,25,46.44507539438745,44.19537825805175
50.7,25,49.88198261408806,49.52615151377217
50.5,25,52.13607533458539,52.35829345200372
51.9,25,53.74613974862648,51.10056430691341
48.83,25,47.844427693746994,48.22576219730201
48.63,25,48.1870772456015,48.040307887341946
47.88,25,47.90358048843658,46.220684630262305
48.89,25,47.87611826202534,48.11301271670184
47.98,25,46.98890261591239,48.021320724930696
47.75,25,49.292800693341476,48.10658156341487
46.1,30,47.35151615432956,44.09065410570347
46.1,30,46.09675428172249,44.125921839204615
43.2,30,43.32039389916782,41.39728765555838
50.4,30,50.69392488618911,47.50154444137787
45.1,30,45.47424798726467,44.12032015001303
48.3,30,48.835103954534546,47.0136874369163
41.8,30,41.257352667301795,40.15828794667521
51.2,30,50.81882707784255,47.94651208453171
