true_Strength_28d,true_Strength_7d,true_Slump_30,true_Slump_90,pred_Strength_28d,pred_Strength_7d,pred_Slump_30,pred_Slump_90,Concrete_Class
51.26,40.27,190,175,44.75832748413086,35.608123779296875,197.8527374267578,181.1479949951172,25
46.67,41.35,210,200,45.86547088623047,35.941497802734375,209.96853637695312,170.8914031982422,25
41.2,28.4,180,180,45.72514724731445,32.56257247924805,194.83778381347656,173.33851623535156,25
41.15,34.5,190,175,44.43610382080078,34.39411544799805,186.03280639648438,158.86192321777344,25
43.25,33.8,230,230,46.256568908691406,33.462440490722656,190.08892822265625,159.23818969726562,25
43.25,33.8,180,110,41.1610107421875,33.62353515625,177.37571716308594,162.21243286132812,25
43.25,33.8,223,230,43.24875259399414,35.173919677734375,192.53709411621094,186.98451232910156,25
35.8,30.9,170,175,45.64030075073242,33.65827560424805,193.7808837890625,177.28045654296875,25
43.35,36.1,160,175,45.85257339477539,32.6636962890625,206.56439208984375,191.62509155273438,25
42.93,37.88,85,175,46.26781463623047,33.43369674682617,190.12750244140625,159.32107543945312,25
46.67,41.35,225,110,46.476295471191406,32.92899703979492,190.9600067138672,161.9818878173828,25
44.58,34.91,195,180,43.05887222290039,35.76805877685547,189.503662109375,174.61099243164062,25
43.22,40.27,180,175,45.72514724731445,32.56257247924805,194.83778381347656,173.33851623535156,25
48.67,45.99,200,150,42.745155334472656,35.200138092041016,193.00985717773438,173.80714416503906,25
48.67,45.99,60,200,44.590484619140625,33.83983612060547,189.29428100585938,157.09312438964844,25
34.6,25.99,210,175,45.77598190307617,31.821151733398438,200.8941650390625,184.91162109375,25
28.0,24.5,200,150,41.86878967285156,37.02682113647461,174.0064239501953,170.3280487060547,25
29.1,26.0,210,200,45.81617736816406,31.861770629882812,199.87872314453125,183.7913818359375,25
48.8,34.7,170,190,48.06330108642578,43.00838088989258,206.03665161132812,165.41673278808594,25
44.0,33.5,170,160,44.657493591308594,37.5069694519043,202.03952026367188,182.9513702392578,25
42.7,33.0,160,160,44.79479217529297,37.98817443847656,205.03164672851562,178.9028778076172,25
44.8,33.1,175,170,44.69401550292969,34.994598388671875,202.13705444335938,187.78689575195312,25
42.1,32.1,170,170,46.400115966796875,34.07577133178711,203.57318115234375,189.00828552246094,25
