replicate,n_oob,R2,RMSE,MAE,MAPE
184,233,0.9233315379937681,3.0466788049946136,2.1523098052992227,4.733774096839438
185,262,0.9070067188017928,3.3029515166525845,2.305109220505191,4.897310601254152
186,253,0.9411540342689665,2.6805458544903313,2.043987929664257,4.477419459862867
187,248,0.9264759851861067,3.0557819391229466,2.206479340415098,4.807927741511042
188,255,0.9250242945268183,3.077831193481149,2.1247250552315786,4.694572124883767
189,266,0.8865237552989035,3.608805598684591,2.596839645285108,5.716544385700668
190,257,0.9215731409902006,2.9283734883571784,2.136683436967063,4.60174297857939
191,246,0.9159171533759355,3.1334399808317923,2.226917295508181,5.044444344078192
192,253,0.922596198544525,3.152662354832127,2.322034782373359,5.106006544776596
193,240,0.9048820801032399,3.282980646048546,2.310189573786675,4.897291501396963
194,244,0.9126964564248838,3.2300304869273235,2.2822830012573756,5.228951930951686
195,248,0.9081126993382411,3.329629054977407,2.299274999010136,4.990690202508523
196,260,0.9106055530975253,3.168631146133699,2.1867283306119263,4.772066512545958
197,259,0.9083773648072955,3.1912803470445716,2.2576057979362334,4.809541414805995
198,264,0.9264117877400948,3.0381309043133973,2.1479012221419844,4.675913932950601
199,242,0.9252660060212384,3.0361402468736283,2.2183952973213428,4.891084421035643
